title,date,text
Bulgaria  c.bank says  interventions  continue. ,1996-12-04," SOFIA, Dec 4 (Reuter) - The Bulgarian National Bank said in a statement on Wednesday it will continue intervening on the local interbank forex market to support the slumping lev. 

 The cash-strapped central bank has carried out modest interventions on the local forex market in the past month to prop up the lev, which fell from 246 to the dollar on November 4 to a record low 413 per dollar on Wednesday. 

 ""In order to support the national currency, the BNB will continue to participate on the foreign exchange market,"" said the statement. 

 The BNB board, which will continue its session on Thursday, is also expected to step up supervision to ensure that commercial banks adhere to regulations requiring banks to have a maximum ratio of up to 30 percent between their net open foreign currency positions and their own funds, said the statement. 

 Bulgaria is currently debating the introduction of a tight financial regime, called a currency board system, to resolve a grave economic crisis caused by delayed reform and siphoning of capital abroad. -- Elisaveta Konstantinova, Sofia Newsroom, 359-2-84561 

 (c) Reuters Limited 1996"
BULGARIA  LEV SLUMPS AS C.BANK HALTS  INTERVENTIONS . ,1996-11-20," SOFIA, Nov 20 (Reuter) - The Bulgarian lev slumped to 330-335 per dollar from 229 in the morning after foreign currency supply thinned down to a trickle and the central bank did not intervene to support the lev, dealers said. 

 ""The (interbank) market was listless in the afternoon because most traders retreated to the sidelines after the lev nosedived to 330-335,"" a commercial bank dealer said. 

 Dealers said an insurance company was bidding for large foreign currency volumes for pending payments of dollar-denominated reinsurance fees, strongly pressuring the lev amid an almost non-existing dollar supply. 

 The central bank did not intervene to support the lev like it was doing for most of November so far, dealers said. 

 A central bank official, who asked not to be identified, told Reuters the bank planned to save its dwindling forex reserves for the possible introduction of a currency board and for foreign debt payments rather than for propping up the lev. 

 Additional pressure over the lev came from the cash market, where Bulgarians converted lev savings into hard currency, dealers said. 

 The dollar was offered at 345-350 levs at exchange bureaux in early afternoon, but lack of demand at these levels made sellers lower their asks for the dollar to 325-330 levs later on, traders said. 

 Individuals have withdrawn some 13 billion levs from the State Savings Bank since the middle of last week until Tuesday, part of which were probably channeled to the cash forex market, Bistra Dimitrova, head of the SSB told Reuters. 

Central bank (BNB) foreign exchange reserves reserves stood near $541 million at the end of October, down from $1.434 billion a year ago, BNB figures show. 

 Apart from foreign exchange reserves the central bank manages gold reserves worth some $400 million. 

 Dues to government and bank creditors in the first quarter of 1997 total $300 million or some 30 percent of all debt payments for next year. 

 A month ago BNB experts estimated Bulgaria would need some $200-300 million for fuel and food imports by the year-end. -- Anastas Petrov, Sofia Newsroom, 359-2-876032 

 (c) Reuters Limited 1996"
Bulgaria  Lev/BNB  Intervenes  -4: Mineralbank Bonds ,1996-05-30," Obretenov said the central bank had failed to intervene in April, instead increasing interest rates to 108%. And he doubts how long they will be able to intervene. 'Their reserves are too thin,' he said. 

 Moreover, the IMF has made it a condition of further lending that Bulgaria maintain its foreign exchange reserves, he added. 

 'I think tomorrow (Friday) will be the last day they come in to check rates,' Obretenov said of the central bank. 'For the next month they won't be in and the dollar will go slowly, slowly higher.' 

 The increase in fuel prices, VAT and other measures aimed at raising revenue are certain to push up inflation, traders argued. 

 While international investors are calm at the moment that Bulgaria will continue servicing its foreign debts, investors who bought privately-placed bonds issued in 1989 by the bankrupt Mineralbank are worried they won't be repaid when the 5 billion yen in bonds mature June 14. The state closed Mineralbank May 17. 

 Talk in Sofia, however, is that the bank has sufficient reserves in Swiss francs in a Swiss bank to cover the bonds, and in the event it doesn't, that the government could take the debt on as state debt, a trader said, citing a contact at Mineralbank. 

 And on the domestic side, despite the crushing burden of high rates, National Bank Governor Filipov said it's not possible to cut the base rate, given current exchange rates, according to BTA. The rate can be lowered only in case the tendency is reversed, he added. 

 Overall, said Obretenov, 'the situation is really bad.' 

 (END) AP-DOW JONES NEWS 30-05-96 

 1705GMT 

 1199"
Bulgaria  Lev/BNB  Intervenes  -3:  Forex  Reserves Are Thin ,1996-05-30," The central bank also moved to limit the amount of minimum reserves commercial banks could withdraw. 

 'This is a complex of measures to stabilize the forex market, given that demand considerably exceeds supply,' National Bank Governor Lyubomir Filipov told parliament Wednesday. 

 The central bank intervention was small by world standards, perhaps, but dealers pointed out that the Bulgarian market, is small, under developed, and easily moved by what in more mature markets would be small amounts. 'The problem with our market is that it's small and not liquid,' the Postbank dealer said. 

 And volatile. 'We started at 170, went to 210 then came to 150,' Obretenov said. 'Normal people are nervous,' he said. Customers who bought dollars at 200 to 210 leva are now asking 'how can we cancel the deal,' he added. 

 The outlook for the lev remains far from rosy. The one result of the intervention seems to be that the lev won't fall as rapidly against the dollar as it has in recent weeks. But it seems certain it will continued to depreciate. 'Nobody wants to sell dollars. Everybody wants to buy dollars,' Obretenov said. 

 While the market is calm now, how long that - and the lev's recovery against the dollar - will last 'depends on the central bank,' said the Postbank dealer. 'If not too many buyers appear, the market could go to 150' leva per dollar he said, adding he doesn't expect it to climb again to 200 leva per dollar. 

 (MORE) AP-DOW JONES NEWS 30-05-96 

 1704GMT 

 1199"
Bulgaria  Lev/BNB  Intervenes  -2: Mkt Doubted It Would Act ,1996-05-30," The Bulgarian lev has suffered badly in the current economic crisis, slipping to 161.97 leva per dollar from 70.704 leva per dollar at the end of 1995. The lev recovered at Thursday's fixing, whose rate is used for statistical and reference purposes, rising to 147.04 leva per dollar. 

 After signing a memorandum of intent with the International Monetary Fund (IMF), the Bulgarian government Wednesday and Thursday announced a series of price increases for energy, higher value-added taxes (VAT) and a 5% import duty to compliment efforts to close loss-making enterprises and insolvent banks. 

 The country's foreign exchange reserves fell to $670 at the end of April from more than $1.2 billion at the end of 1995 as the country made payments on some $1.2 billion of foreign debt servicing due this year. 

 As reserves fell, the central bank refrained from intervening to support the lev. Thus market participants were surprised when the BNB stepped into the market Wednesday and again Thursday. 

 'I don't think the market believed they would intervene,' said the trader at the Bulgarian Postbank. 

 The central bank governing board Wednesday decided to stop funding commercial banks, limiting the inflow of leva that they might use to purchase hard currency. The central bank also raised rates on security repurchase agreements, the state news agency BTA reported. 

 (MORE) AP-DOW JONES NEWS 30-05-96 

 1704GMT 

 1199"
Bulgaria  Lev Around 140 Leva/Dlr After BNB  Intervenes ,1996-05-30," PRAGUE (AP-Dow Jones)--The Bulgarian lev settled around 140 leva per dollar Thursday after two days of heavy intervention by the Bulgarian National Bank (BNB), dealers in Sofia said. 

 The interventions took the market by surprise Wednesday, when the dollar was offered as high as 210 leva on Bulgaria's thin and nervous foreign exchange market, dealers said. 

 The Bulgarian National Bank spent some $7 million to $10 million of its precious - and dwindling - foreign exchange reserves Wednesday and another $3 million to $5 million Thursday in interventions on the market, estimates Lyubomir Obretenov, chief dealer at First East International Bank in Sofia. 

 The 'Continent' newspaper quoted Stoyan Shoukerov, head of the central bank's foreign operations department, as saying that when the dollar reached 190 to 195 leva, the central bank sold $4 to $4.5 million. 

 Dealers said Wednesday's intervention knocked the dollar down to 150 to 155 leva. 

 Thursday, the central bank sold dollars at 150 leva, 145 leva and 140 leva, with the dollar finally settling at 135 to 140 leva at the close of trading Thursday. 

 A dealer at the Bulgarian Postbank said he expects the lev Friday at near the same level, quoting a spread of 130 to 140 leva per dollar. 

 'I think 135-140 (leva per dollar) is the low,' said Obretenov, adding, '140 is a very, very good level to buy.' 

 (MORE) AP-DOW JONES NEWS 30-05-96 

 1704GMT 

 1199"
Bulgaria  c-bank to support lev with  interventions . ,1996-05-29," SOFIA, May 29 (Reuter) - The Bulgarian National Bank (BNB) said in a statement on Wednesday it would intervene on the local interbank forex market to support the lev. 

 ""The BNB board decided to launch unlimited interventions from May 29 on the foreign exchange market in support of the national currency,"" said the statement, released after an extraordinary board meeting. 

 Direct dollar sales launched by the BNB at noon on Wednesday helped the lev recover to 140-145 by mid-afternoon from historic lows of 200 per dollar in early morning bids for foreign currency. 

 Several Bulgarian commercial banks joined the BNB's dollar sales during the afternoon, offering dollars on sale orders by final clients eager to sell while the dollar was expensive. 

 The lev closed at 150-160 per dollar after the BNB halted its dollar offers. 

 Many dealers expressed doubts about the BNB's power to prop up the lev with interventions alone because of its severely limited foreign exchange reserves. 

 BNB governor Lyubomir Filipov said on Tuesday that the central bank would have to curb its interventions on the domestic interbank market in line with pledges made to the International Monetary Fund (IMF). 

 The Fund has asked Bulgaria to boost its foreign exchange reserves under a preliminary funding deal agreed on Monday. 

 BNB forex reserves have fallen to around $500 million according to unofficial estimates. Bulgaria faces foreign debt payments of some $700 million in July alone. 

 Filipov did not say how the BNB planned to raise its forex reserves. 

 -- Gareth Jones, Sofia Newsroom, 359-2-328101 

 (c) Reuters Limited 1996"
PRESS DIGEST - Bulgaria - May 6. ,1996-05-06," These are some of the main stories in Sofia newspapers today. Reuters has not verified these stories and does not vouch for their accuracy. 

 24 CHASA 

 The cabinet is expected to replace 100 of the 1063 firms on the mass sell-off list at an extraordinary session on Tuesday, the head of the Mass Privatisation Centre Kalin Mitrev said. @ 

 Bulgaria's foreign debt fell by $917 million to $9.445 billion in 1995 after debts to Russian commercial banks were settled, the central bank said in its annual report. Bulgaria owes $5.4 to commercial creditors and $1.7 billion to international lending institutions. 

 Some firms, which are expected to be put on the liquidation list under a government programme, might be saved, the head of the Economic bank Plamen Petrov said. He referred to the Rousse-based shipyard, saying its creditors -- four Bulgarian banks -- might agree to extend fresh funding, because its ships had markets in Europe. 

 New car sales in Bulgaria dropped by nine percent to 1955 units year-on-year in the first quarter of this year, the Car Importers' Union said. 

 TROUD 

 Bulgarian banks' losses rose by 10.5 billion levs to 45.3 billion levs in February, the central bank said. 

 The 16th International Spring Fair opens in the city of Plovdiv today with a record high number of firms taking part - 1485 from 44 countries. 

 PARI 

 The government was asked to take $550 million foreign debt of the state-owned Economic bank and Mineralbank to speed up restructuring in the banking sector and clear the way for fresh funding deals with official creditors, the heads of the two banks and Bulbank said in a letter to the government. 

 Bulgaria's private  Mollov commercial bank posted of 15 million levs profit in 1995, figures from its profit and loss account showed. 

 STANDART 

 Nine large banks have agreed to back the central bank in supprort of the national currency, the lev, by joint interventions on the interbank foreign exchange market. 

Bulgaria's Association of Commercial Banks might split over proposed amendments to statutes, due to be discussed at a annual meeting on Tuesday. Under the amendments banks should have a number of votes proportional to their capital. At the moment each member bank has one vote, regardless of its capital. -- Sofia Newsroom, 359-2-328101 

 (c) Reuters Limited 1996"
"Brady Bond Market: Russia Rises On Bank Meeting, Polls ",1996-04-24," LONDON (Dow Jones)--Russian loans continued to rise on the market for developing country debt Wednesday, pushed higher by news of a meeting between the country's debt negotiators and its foreign bank creditors. 

 Recent improvements in President Boris Yeltsin's standing in the polls have also helped, traders said. 

 Vneshekonombank U.S. dollar loans gained one point on the offer side to 38.5 on news that a Russian delegation will meet with the country's Bank Advisory Committee (BAC) in London next Monday. The meeting is expected to produce a term sheet outlining the precise details of the debt rescheduling agreement negotiated in November. 

 Once agreed, the term sheet will be presented to Russia's 400 creditor banks for their approval, a significant step towards completing the agreement. 

 Recent polls which have shown Yeltsin gaining ground on Gennady Zyuganov, his main rival in June's presidential elections, have also helped boost Russian debt prices. 

 One poll published Monday gave Yeltsin a slight lead over the Communist Party candidate. It was the first nationwide poll to do so. 

 Elsewhere in eastern Europe, Bulgarian Brady bonds edged slightly higher on hopes that the country will soon conclude agreements with the International Monetary Fund and the World Bank which will improve its ability to repay its foreign debt. 

 Bulgarian Discount bonds rose by 1/8 to 51.875 bid. 

 The market shrugged off the continuing decline in the rate of exchange of the Lev against the dollar. Dealers in Sofia said the National Bank of Bulgaria was unable to intervene in support of the Lev because it doesn't have enough foreign exchange reserves. The central bank's reserves stood at $700 million at the end of March. 

 Polish Discount bonds were down 1/8 at 92.75/93.00. 


Trading of Latin American Brady bonds was limited, with Brazilian
Capitalization Bonds down 1/8 at 60.25.
   -Paul Hannon



(END) DOW JONES EMERGING MARKETS REPORT 04-24-96



0734EDT


 1810"
Bulgaria  Lev/Dollar -3:  Central Bank  Not  Intervening ,1996-04-24," The central bank tried twice this year to stop the steep rise of the dollar and protect the savings in local currency by raising the base interest rate to 49% currently from 34% at the end of last year. 

 But hopes that interest in hard currency would fade and that the central bank was in control were dashed. 'Our country needs foreign exchange for payments and to buy goods,' Varbarnov said. 

 Bankers maintain that the central bank's monetary measures are ineffective and that other financial mechanisms have to be found. 

 The central bank didn't intervene Tuesday or Wednesday, and Varbarnov said it's indicated that it won't intervene 'because it doesn't have money for the intervention.' 

 Official foreign exchange reserves dropped to around $900 million early this year from $1.2 billion at the end of 1995; they dropped further to $700 million at the end of March in part as Bulgaria made a regular payment to the commercial and official creditors under agreements. 

 Bulgaria owes some $1.2 billion in 1996 in principle and interest repayments. Officials expect a trade surplus of around $400 million and a current account surplus of $100 million in 1996. 

 'On this basis we hope in the spring and the summer to improve our reserves,' Filipov said. 

 The lev's depreciation reflects the difficulties which Bulgaria meets while trying to reform its communist-built economy along market lines. 'The big problem is in the economy,' Varbarnov said. While he said he thinks the government will be able to carry out its restructuring plans, 'this is very difficult and will go very slowly.' 

 (MORE) AP-DOW JONES NEWS 24-04-96 

 1009GMT"
BULGARIAN LEV FALLS TO ALL-TIME LOW OF 91 VS DLR. ,1996-04-24," SOFIA, April 24 (Reuter) - The Bulgarian lev shed 3.4 percent on Wednesday to close at an all-time low of 91.00 per dollar due to very low supply of foreign currency on the interbank forex market, dealers said. 

 ""We sold a small amount of dollars at 91 levs in late afternoon,"" a commercial bank dealer said, adding that a demand for some $1.5 million by the same buyer had remained unsatisfied by the close. 

 The local branch of a foreign bank has actively bid for dollars throughout the day, attracting the scarce offers at increasingly higher lev rates, traders said. 

 Most banks, worried by the sharp lev fall, refrained from trading in the market and preferred to strike deals mainly with final clients, dealers said. 

 ""Traders have lost confidence in each other after forex trade was disrupted earlier this week by cancellation of forward contracts,"" another commercial bank dealer said. 

 At least two financial brokerages have cancelled payments since last week on forward contracts, putting banks with short dollar positions in a difficult situation. 

 This pushed most banks out of the market, which in turn made trade very thin and volatile with the bid/ask spread widening to three to four levs. 

 The central bank was not sighted trading in the market, dealers said, adding that shrinking forex reserves and uncertainty over funding deals with the international lending institutions continue to weigh heavily on the lev. 

Central bank forex reserves fell by $201 million to $703 million in March. They stood at $1.3 billion in December before Bulgaria had to make Brady coupon interest payments, interest payments to the Paris Club of creditor governments and interventions in support of the lev. 

Bulgaria has to pay a total of $1.2 billion on its foreign debt this year. This is expected to stretch Sofia's finances to the limit if it fails to strike fresh funding deals with the International Monetary Fund and the World Bank, analysts said. 

 The IMF and the World Bank are currently scrutinising the small print of a reform programme handed over by Bulgaria's socialist government nearly two weeks ago. -- Sofia Newsroom, 359-2-328101 

 (c) Reuters Limited 1996"
Bulgarian lev recovers to 83.00 vs dlr at close. ,1996-04-18," SOFIA, April 18 (Reuter) - A moderate rise of dollar supply helped the Bulgarian lev recover to around 83.00 per dollar at the close of the interbank market on Thursday, from its record low of 83.70 in late morning trade, dealers said. 

 ""A large commercial bank offered a relatively small amount of dollars in early afternoon at levels around 83.00 levs and the market settled there until the close,"" a commercial bank dealer said. 

 Low supply of foreign currency due to market worries over a sharp fall in forex reserves and uncertainty whether Bulgaria will strike much-needed funding deals with the IMF and the World Bank pressured the lev, dealers said. 

 ""In a market as thin as today's every dip in supply or demand brings large volatility,"" another commercial bank dealer said after the lev weakened to 83.70 per dollar two hours after opening around 82.50. 

 The lev closed at 81.60 on Wednesday. 

 Under central bank preliminary estimates foreign exchange reserves have fallen to $720 million in March from $1.27 billion at the end of 1995 following interest payments on Bulgaria's commercial and official foreign debt and interventions in support of the lev. 

 -- Sofia Newsroom, 359-2-328101 

 (c) Reuters Limited 1996"
Bulgaria  forex  reserves fall to $703 million. ,1996-04-18," SOFIA, April 18 (Reuter) - Bulgaria's foreign exchange reserves fell to $703 million at the end of March from $904 million a month earlier, central bank governor Lyubomir Filipov said on Thursday. 

 ""At the end of last month the reserves stood at $703 million,"" Filipov told reporters. 

 ""In the last few weeks we have bought $46 million,"" he said, adding that commercial banks had withdrawn some $30 million from their obligatory forex deposits and had not offered them on the market. 

 By June commercial banks must transfer their dollar-denominated minimum required reserves into levs, which will bring dollars onto the market, Filipov said. 

 The central bank is expected to buy the dollars offered and thus to increase its foreign exchange reserves. 

 Filipov said the central bank would rely on these dollars and on export earnings as well as its reserves to meet Brady coupon interest and other debt payments due in July. 

 Bulgaria's reserves have fallen from $1.3 billion since last December because of Brady coupon interest payments in January, interest payments to the Paris Club of official creditors and interventions in support of the lev. 

 Uncertainty over whether Bulgaria will clinch funding deals with the International Monetary Fund (IMF) and the World Bank have contributed to the downward pressure on the lev. 

 Keen to raise cash to cover this year's foreign debt payments totalling $1.2 billion, the government last week submitted a detailed reform plan to the two funding institutions. @ 

 Bulgaria's failure to meet reform targets -- including closing down loss-making state firms and restructuring its debt-laden banking sector -- has postponed funding agreements with the lending institutions for two years in a row. 

 A World Bank mission is currently visiting Sofia. 

 Filipov told reporters an IMF mission was expected in the Bulgarian capital early in May. -- Sofia Newsroom, 359-2-328101 

 (c) Reuters Limited 1996"
Bulgarian lev closes stronger at 77.10/30 vs dlr. ,1996-03-07," SOFIA, March 7 (Reuter) - The Bulgarian lev strengthened to 77.10/30 per dollar at the close of the interbank forex market from 78.50-79.50 opening following a joint intervention by the central bank and Bulbank, dealers said. 

 ""The rise in dollar supply boosted the lev"", a commercial bank dealer said, adding that trade got livelier today as more banks and brokerages appeared in the market. 

 The lev traded in very small volumes near its yesterday's close between 78.50 and 79.50 per dollar at the opening and was headed to slide further when the central bank intervened at 77.99 in mid-morning. 

 Bulbank, Bulgaria's strongest, followed suit with sales of as much as $20 million at 77.95 levs and dollar supply rose further when some of the largest commercial banks began selling dollars, dealers said. 

 Most operators closed positions in the afternoon and the lev firmed to 77.10/30 per dollar in thin trade by the end of the day. 

 -- Anastas Petrov, Sofia Newsroom, 359-2-328101 

 (c) Reuters Limited 1996"
Central bank  buying pushes up  Bulgaria  lev - dealers. ,1996-02-21," SOFIA, Feb 21 (Reuter) - Large-scale intervention by the central bank helped push up the Bulgarian lev to 75.15/20 per dollar at the close on the interbank forex market, well above the opening 75.40, dealers said. 

 ""Massive dollar sales by the central bank in the morning calmed down the market and strengthened the lev,"" a commercial bank dealer said. Operators said trade was active as many banks sought dollars for final clients and building of long positions. 

 The central bank launched dollar sales in early trade for the second day in a row to halt the lev fall. No details of the amounts sold were available. 

 The lev weakened to around 76.20 yesterday morning and seemed headed for a further fall before the intervention began. 

 Trade on the interbank money market was rather dull and thin as few banks offered lev funds, dealers said. 

 According to traders, banks with free levs channelled them to the interbank forex market, which further curbed supply to the money market. The interbank depo rate was flat on Tuesday's 45.4-45.5 percent. 

 -- Sofia Newsroom, 359-2-328101 

 (c) Reuters Limited 1996"
Bulgaria  Lev Stable -2:  Central Bank  Had  Intervened ,1995-04-26," At the same time, demand for local currency debt appears to be growing, the dealer said, because of 

 The Bulgarian National Bank reduced its base rate to 60% from 65%, effective Monday, and the central bank suggested that further cuts could be in the offing if the foreign exchange market remained calm. That followed an earlier cut to 65% from 72%. 

 The dollar tried to rally to 65.90 on the offer after the central bank's most recent base rate cut, 'but the central bank was on the market and demand was not very high,' the dealer said. 

 The National Bank said it sold 900 million leva of six-month Treasury bills Tuesday at floating rates calculated on the base rate at an average price of 98.25. 

 The central bank had offered 900 million leva of the bills, and bids amounted to 1.36 billion leva for a bid-to-cover ratio of 1.51. 

 (MORE) AP-DOW JONES NEWS 26-04-95 

 1359GMT"
Bulgaria  Sold -2:  Central Bank Intervened ,1995-03-15," The stronger lev on Tuesday's interbank market followed a sharp drop by lev against the dollar on Monday, according to the state news agency BTA. 

 BTA quoted central bank Governor Todor Valchev as saying that a moderate climb for the dollar is normal against the lev, given the increase in Bulgarian inflation of around 10% from January to March. 

 But Valchev added that it's important for the central bank to control foreign exchange transactions and warned that the central bank is in a better position now against speculation than last year. Valchev said the central bank sold $6 million on the interbank market Tuesday and sold $20 million to the government. 

 BTA quoted dealers as saying that they expect the lev's exchange rate to be influence in coming days by the introduction of the 1995 budget. Even as the foreign exchange market became more lively, demand for debt at Monday's and last Firday's auctions exceeded the supply, according to the National Bank. 

 (MORE) AP-DOW JONES NEWS 15-03-95 

 1414GMT"
